weight,no,name,ticker
0.00%,1528,恩德,TPE:1528
0.00%,3013,晟銘電,TPE:3013
0.00%,2380,虹光,TPE:2380
0.00%,2488,漢平,TPE:2488
0.00%,3054,立萬利,TPE:3054
0.00%,3047,訊舟,TPE:3047
0.00%,3164,景岳,TPE:3164
0.00%,1468,昶和,TPE:1468
0.00%,1445,大宇,TPE:1445
0.00%,1416,廣豐,TPE:1416
0.00%,3321,同泰,TPE:3321
0.00%,3311,閎暉,TPE:3311
0.00%,6674,鋐寶科技,TPE:6674
0.00%,2427,三商電,TPE:2427
0.00%,2936,客思達-KY,TPE:2936
0.00%,1456,怡華,TPE:1456
0.00%,1474,弘裕,TPE:1474
0.00%,1506,正道,TPE:1506
0.00%,8467,波力-KY,TPE:8467
0.00%,8072,陞泰,TPE:8072
0.00%,6405,悅城,TPE:6405
0.00%,6573,虹揚-KY,TPE:6573
0.00%,5284,jpp-KY,TPE:5284
0.00%,1337,再生-KY,TPE:1337
0.00%,2024,志聯,TPE:2024
0.00%,1616,億泰,TPE:1616
0.00%,3518,柏騰,TPE:3518
0.00%,6165,浪凡,TPE:6165
0.00%,1735,日勝化,TPE:1735
0.00%,2901,欣欣,TPE:2901
0.00%,2543,皇昌,TPE:2543
0.00%,2904,匯僑,TPE:2904
0.00%,3296,勝德,TPE:3296
0.00%,2305,全友,TPE:2305
0.00%,1587,吉茂,TPE:1587
0.00%,6226,光鼎,TPE:6226
0.00%,6152,百一,TPE:6152
0.00%,3607,谷崧,TPE:3607
0.00%,3686,達能,TPE:3686
0.00%,6591,動力-KY,TPE:6591
0.00%,9955,佳龍,TPE:9955
0.00%,1466,聚隆,TPE:1466
0.00%,1340,勝悅-KY,TPE:1340
0.00%,3025,星通,TPE:3025
0.00%,2491,吉祥全,TPE:2491
0.00%,1524,耿鼎,TPE:1524
0.00%,1470,大統新創,TPE:1470
0.00%,1776,展宇,TPE:1776
0.00%,2911,麗嬰房,TPE:2911
0.00%,6117,迎廣,TPE:6117
0.00%,3535,晶彩科,TPE:3535
0.00%,3550,聯穎,TPE:3550
0.00%,6164,華興,TPE:6164
0.00%,6431,光麗-KY,TPE:6431
0.00%,6625,必應,TPE:6625
0.00%,3046,建碁,TPE:3046
0.00%,1454,台富,TPE:1454
0.00%,2033,佳大,TPE:2033
0.00%,2516,新建,TPE:2516
0.00%,2431,聯昌,TPE:2431
0.00%,4720,德淵,TPE:4720
0.00%,5225,東科-KY,TPE:5225
0.00%,1449,佳和,TPE:1449
0.00%,1465,偉全,TPE:1465
0.00%,1539,巨庭,TPE:1539
0.00%,1540,喬福,TPE:1540
0.00%,1732,毛寶,TPE:1732
0.00%,2939,凱羿-KY,TPE:2939
0.00%,3011,今皓,TPE:3011
0.00%,5906,台南-KY,TPE:5906
0.00%,9902,台火,TPE:9902
0.00%,4581,光隆精密-KY,TPE:4581
0.00%,3018,同開,TPE:3018
0.00%,2444,兆勁,TPE:2444
0.00%,1475,業旺,TPE:1475
0.00%,1432,大魯閣,TPE:1432
0.00%,2236,百達-KY,TPE:2236
0.00%,2471,資通,TPE:2471
0.00%,3002,歐格,TPE:3002
0.00%,2929,淘帝-KY,TPE:2929
0.00%,3057,喬鼎,TPE:3057
0.00%,4562,穎漢,TPE:4562
0.00%,1805,寶徠,TPE:1805
0.00%,1471,首利,TPE:1471
0.00%,4807,日成-KY,TPE:4807
0.00%,8488,吉源-KY,TPE:8488
0.00%,8201,無敵,TPE:8201
0.00%,8222,寶一,TPE:8222
0.00%,3593,力銘,TPE:3593
0.00%,6133,金橋,TPE:6133
0.00%,1413,宏洲,TPE:1413
0.00%,1441,大東,TPE:1441
0.00%,2496,卓越,TPE:2496
0.00%,3432,台端,TPE:3432
0.00%,9929,秋雨,TPE:9929
0.00%,2468,華經,TPE:2468
0.00%,2243,宏旭-KY,TPE:2243
0.00%,1516,川飛,TPE:1516
0.00%,1453,大將,TPE:1453
0.00%,2482,連宇,TPE:2482
0.00%,2438,翔耀,TPE:2438
0.00%,8940,新天地,TPE:8940
0.00%,5484,慧友,TPE:5484
0.00%,3308,聯德,TPE:3308
0.00%,8443,阿瘦,TPE:8443
0.00%,1324,地球,TPE:1324
0.00%,2434,統懋,TPE:2434
0.00%,2429,銘旺科,TPE:2429
0.00%,9912,偉聯,TPE:9912
0.00%,2424,隴華,TPE:2424
